StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2026-02-14T12:00:00Z,APXMIDP,2026-02-14,25,72.49,1693.800
2026-02-14T12:00:00Z,N2EXMIDP,2026-02-14,25,0.00,0.000
2026-02-14T11:30:00Z,APXMIDP,2026-02-14,24,73.21,1572.900
2026-02-14T11:30:00Z,N2EXMIDP,2026-02-14,24,0.00,0.000
2026-02-14T11:00:00Z,APXMIDP,2026-02-14,23,75.08,1767.000
2026-02-14T11:00:00Z,N2EXMIDP,2026-02-14,23,0.00,0.000
2026-02-14T10:30:00Z,APXMIDP,2026-02-14,22,79.80,1956.000
2026-02-14T10:30:00Z,N2EXMIDP,2026-02-14,22,0.00,0.000
2026-02-14T10:00:00Z,APXMIDP,2026-02-14,21,85.00,1961.700
2026-02-14T10:00:00Z,N2EXMIDP,2026-02-14,21,0.00,0.000
2026-02-14T09:30:00Z,APXMIDP,2026-02-14,20,86.71,1749.700
2026-02-14T09:30:00Z,N2EXMIDP,2026-02-14,20,0.00,0.000
2026-02-14T09:00:00Z,APXMIDP,2026-02-14,19,92.45,1918.450
2026-02-14T09:00:00Z,N2EXMIDP,2026-02-14,19,0.00,0.000
2026-02-14T08:30:00Z,APXMIDP,2026-02-14,18,88.55,1732.000
2026-02-14T08:30:00Z,N2EXMIDP,2026-02-14,18,0.00,0.000
2026-02-14T08:00:00Z,APXMIDP,2026-02-14,17,85.52,1297.800
2026-02-14T08:00:00Z,N2EXMIDP,2026-02-14,17,0.00,0.000
2026-02-14T07:30:00Z,APXMIDP,2026-02-14,16,86.62,1242.950
2026-02-14T07:30:00Z,N2EXMIDP,2026-02-14,16,0.00,0.000
2026-02-14T07:00:00Z,APXMIDP,2026-02-14,15,82.04,1479.850
2026-02-14T07:00:00Z,N2EXMIDP,2026-02-14,15,0.00,0.000
2026-02-14T06:30:00Z,APXMIDP,2026-02-14,14,78.20,1159.700
2026-02-14T06:30:00Z,N2EXMIDP,2026-02-14,14,0.00,0.000
2026-02-14T06:00:00Z,APXMIDP,2026-02-14,13,76.49,1080.400
2026-02-14T06:00:00Z,N2EXMIDP,2026-02-14,13,0.00,0.000
2026-02-14T05:30:00Z,APXMIDP,2026-02-14,12,74.22,1010.350
2026-02-14T05:30:00Z,N2EXMIDP,2026-02-14,12,0.00,0.000
2026-02-14T05:00:00Z,APXMIDP,2026-02-14,11,75.29,1026.350
2026-02-14T05:00:00Z,N2EXMIDP,2026-02-14,11,0.00,0.000
2026-02-14T04:30:00Z,APXMIDP,2026-02-14,10,66.53,1185.550
2026-02-14T04:30:00Z,N2EXMIDP,2026-02-14,10,0.00,0.000
2026-02-14T04:00:00Z,APXMIDP,2026-02-14,9,65.54,1197.550
2026-02-14T04:00:00Z,N2EXMIDP,2026-02-14,9,0.00,0.000
2026-02-14T03:30:00Z,APXMIDP,2026-02-14,8,64.51,1232.800
2026-02-14T03:30:00Z,N2EXMIDP,2026-02-14,8,0.00,0.000
2026-02-14T03:00:00Z,APXMIDP,2026-02-14,7,66.13,1216.700
2026-02-14T03:00:00Z,N2EXMIDP,2026-02-14,7,0.00,0.000
2026-02-14T02:30:00Z,APXMIDP,2026-02-14,6,66.93,1389.050
